2026-06-28 09:10:10 | === run 'gptbert_small_v1' | device=mps | config=small (33.0M params) ===
2026-06-28 09:10:10 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-28 09:10:10 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-28 09:10:10 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/train.log
2026-06-28 11:06:10 | [1:55:59] [###---------------------]  15.8% | step   1560/9860 | ep 1 | masked | loss  2.999 | lr 4.76e-04 |  15.66M words |  3673 tok/s | ETA 10:17:09
2026-06-28 11:07:39 | [1:57:28] [###---------------------]  16.0% | step   1580/9860 | ep 1 | causal | loss  3.725 | lr 4.75e-04 |  15.86M words |  3673 tok/s | ETA 10:15:39
2026-06-28 11:09:09 | [1:58:58] [###---------------------]  16.2% | step   1600/9860 | ep 1 | masked | loss  3.278 | lr 4.74e-04 |  16.06M words |  3673 tok/s | ETA 10:14:11
2026-06-28 11:10:38 | [2:00:27] [###---------------------]  16.4% | step   1620/9860 | ep 1 | masked | loss  3.071 | lr 4.74e-04 |  16.26M words |  3673 tok/s | ETA 10:12:42
2026-06-28 11:12:07 | [2:01:56] [###---------------------]  16.6% | step   1640/9860 | ep 1 | masked | loss  3.111 | lr 4.73e-04 |  16.46M words |  3673 tok/s | ETA 10:11:12
2026-06-28 11:13:36 | [2:03:25] [####--------------------]  16.8% | step   1660/9860 | ep 1 | masked | loss  3.484 | lr 4.72e-04 |  16.66M words |  3673 tok/s | ETA 10:09:42
2026-06-28 11:15:05 | [2:04:54] [####--------------------]  17.0% | step   1680/9860 | ep 1 | masked | loss  2.916 | lr 4.72e-04 |  16.86M words |  3673 tok/s | ETA 10:08:12
2026-06-28 11:16:34 | [2:06:23] [####--------------------]  17.2% | step   1700/9860 | ep 1 | masked | loss  2.923 | lr 4.71e-04 |  17.06M words |  3673 tok/s | ETA 10:06:40
2026-06-28 11:18:03 | [2:07:52] [####--------------------]  17.4% | step   1720/9860 | ep 1 | masked | loss  2.905 | lr 4.70e-04 |  17.26M words |  3673 tok/s | ETA 10:05:10
2026-06-28 11:19:32 | [2:09:21] [####--------------------]  17.6% | step   1740/9860 | ep 1 | masked | loss  3.529 | lr 4.69e-04 |  17.46M words |  3674 tok/s | ETA 10:03:40
2026-06-28 11:21:02 | [2:10:51] [####--------------------]  17.8% | step   1760/9860 | ep 1 | masked | loss  3.482 | lr 4.68e-04 |  17.67M words |  3673 tok/s | ETA 10:02:12
2026-06-28 11:22:31 | [2:12:20] [####--------------------]  18.1% | step   1780/9860 | ep 1 | masked | loss  3.005 | lr 4.68e-04 |  17.87M words |  3673 tok/s | ETA 10:00:46
2026-06-28 11:24:03 | [2:13:53] [####--------------------]  18.3% | step   1800/9860 | ep 1 | masked | loss  3.162 | lr 4.67e-04 |  18.07M words |  3672 tok/s | ETA 9:59:29
2026-06-28 11:25:35 | [2:15:24] [####--------------------]  18.5% | step   1820/9860 | ep 1 | masked | loss  3.382 | lr 4.66e-04 |  18.27M words |  3671 tok/s | ETA 9:58:11
2026-06-28 11:27:07 | [2:16:56] [####--------------------]  18.7% | step   1840/9860 | ep 1 | masked | loss  2.850 | lr 4.65e-04 |  18.47M words |  3669 tok/s | ETA 9:56:53
2026-06-28 11:28:39 | [2:18:28] [####--------------------]  18.9% | step   1860/9860 | ep 1 | masked | loss  2.575 | lr 4.64e-04 |  18.67M words |  3668 tok/s | ETA 9:55:36
2026-06-28 11:30:12 | [2:20:01] [####--------------------]  19.1% | step   1880/9860 | ep 1 | masked | loss  3.278 | lr 4.64e-04 |  18.87M words |  3667 tok/s | ETA 9:54:19
2026-06-28 11:31:44 | [2:21:33] [####--------------------]  19.3% | step   1900/9860 | ep 1 | causal | loss  3.932 | lr 4.63e-04 |  19.07M words |  3666 tok/s | ETA 9:53:03
2026-06-28 11:33:16 | [2:23:05] [####--------------------]  19.5% | step   1920/9860 | ep 1 | masked | loss  3.096 | lr 4.62e-04 |  19.27M words |  3664 tok/s | ETA 9:51:46
2026-06-28 11:34:48 | [2:24:37] [####--------------------]  19.7% | step   1940/9860 | ep 1 | masked | loss  3.235 | lr 4.61e-04 |  19.47M words |  3663 tok/s | ETA 9:50:26
2026-06-28 11:36:21 | [2:26:10] [####--------------------]  19.9% | step   1960/9860 | ep 1 | masked | loss  2.711 | lr 4.60e-04 |  19.67M words |  3662 tok/s | ETA 9:49:08
2026-06-28 11:37:54 | [2:27:43] [####--------------------]  20.1% | step   1980/9860 | ep 2 | causal | loss  3.999 | lr 4.59e-04 |  19.88M words |  3661 tok/s | ETA 9:47:54
2026-06-28 11:38:54 |   >> saved checkpoint chck_20M at 20.01M words
2026-06-28 11:39:27 | [2:29:16] [####--------------------]  20.3% | step   2000/9860 | ep 2 | masked | loss  3.110 | lr 4.58e-04 |  20.08M words |  3660 tok/s | ETA 9:46:38
2026-06-28 11:40:59 | [2:30:48] [####--------------------]  20.5% | step   2020/9860 | ep 2 | masked | loss  2.879 | lr 4.57e-04 |  20.28M words |  3658 tok/s | ETA 9:45:20
2026-06-28 11:42:32 | [2:32:21] [####--------------------]  20.7% | step   2040/9860 | ep 2 | masked | loss  2.967 | lr 4.56e-04 |  20.48M words |  3657 tok/s | ETA 9:44:01
2026-06-28 11:44:04 | [2:33:53] [#####-------------------]  20.9% | step   2060/9860 | ep 2 | masked | loss  3.108 | lr 4.56e-04 |  20.68M words |  3656 tok/s | ETA 9:42:41
2026-06-28 11:45:36 | [2:35:25] [#####-------------------]  21.1% | step   2080/9860 | ep 2 | causal | loss  3.667 | lr 4.55e-04 |  20.88M words |  3655 tok/s | ETA 9:41:21
2026-06-28 11:47:08 | [2:36:57] [#####-------------------]  21.3% | step   2100/9860 | ep 2 | masked | loss  3.285 | lr 4.54e-04 |  21.08M words |  3654 tok/s | ETA 9:40:01
2026-06-28 11:48:45 | [2:38:34] [#####-------------------]  21.5% | step   2120/9860 | ep 2 | masked | loss  2.961 | lr 4.53e-04 |  21.28M words |  3652 tok/s | ETA 9:38:55
2026-06-28 11:50:18 | [2:40:07] [#####-------------------]  21.7% | step   2140/9860 | ep 2 | masked | loss  2.679 | lr 4.52e-04 |  21.48M words |  3650 tok/s | ETA 9:37:39
2026-06-28 11:51:51 | [2:41:40] [#####-------------------]  21.9% | step   2160/9860 | ep 2 | masked | loss  2.943 | lr 4.51e-04 |  21.68M words |  3649 tok/s | ETA 9:36:21
2026-06-28 11:53:23 | [2:43:12] [#####-------------------]  22.1% | step   2180/9860 | ep 2 | masked | loss  3.089 | lr 4.50e-04 |  21.88M words |  3648 tok/s | ETA 9:34:56
2026-06-28 11:54:52 | [2:44:41] [#####-------------------]  22.3% | step   2200/9860 | ep 2 | masked | loss  2.479 | lr 4.49e-04 |  22.08M words |  3649 tok/s | ETA 9:33:25
2026-06-28 11:56:21 | [2:46:10] [#####-------------------]  22.5% | step   2220/9860 | ep 2 | masked | loss  2.851 | lr 4.48e-04 |  22.28M words |  3649 tok/s | ETA 9:31:54
2026-06-28 11:57:51 | [2:47:40] [#####-------------------]  22.7% | step   2240/9860 | ep 2 | masked | loss  2.983 | lr 4.47e-04 |  22.49M words |  3649 tok/s | ETA 9:30:23
2026-06-28 11:59:21 | [2:49:10] [#####-------------------]  22.9% | step   2260/9860 | ep 2 | masked | loss  2.863 | lr 4.46e-04 |  22.69M words |  3649 tok/s | ETA 9:28:53
2026-06-28 12:00:51 | [2:50:40] [#####-------------------]  23.1% | step   2280/9860 | ep 2 | masked | loss  3.402 | lr 4.45e-04 |  22.89M words |  3649 tok/s | ETA 9:27:25
2026-06-28 12:02:20 | [2:52:09] [#####-------------------]  23.3% | step   2300/9860 | ep 2 | masked | loss  3.017 | lr 4.44e-04 |  23.09M words |  3649 tok/s | ETA 9:25:54
2026-06-28 12:03:50 | [2:53:39] [#####-------------------]  23.5% | step   2320/9860 | ep 2 | masked | loss  3.093 | lr 4.43e-04 |  23.29M words |  3649 tok/s | ETA 9:24:22
2026-06-28 12:05:22 | [2:55:11] [#####-------------------]  23.7% | step   2340/9860 | ep 2 | masked | loss  2.974 | lr 4.42e-04 |  23.49M words |  3648 tok/s | ETA 9:23:01
2026-06-28 12:06:56 | [2:56:45] [#####-------------------]  23.9% | step   2360/9860 | ep 2 | masked | loss  2.899 | lr 4.41e-04 |  23.69M words |  3647 tok/s | ETA 9:21:42
2026-06-28 12:08:29 | [2:58:18] [#####-------------------]  24.1% | step   2380/9860 | ep 2 | masked | loss  2.696 | lr 4.40e-04 |  23.89M words |  3646 tok/s | ETA 9:20:22
2026-06-28 12:10:02 | [2:59:51] [#####-------------------]  24.3% | step   2400/9860 | ep 2 | masked | loss  3.007 | lr 4.39e-04 |  24.09M words |  3645 tok/s | ETA 9:19:03
2026-06-28 12:11:35 | [3:01:24] [#####-------------------]  24.5% | step   2420/9860 | ep 2 | masked | loss  2.829 | lr 4.38e-04 |  24.29M words |  3643 tok/s | ETA 9:17:43
2026-06-28 12:13:08 | [3:02:57] [#####-------------------]  24.7% | step   2440/9860 | ep 2 | masked | loss  2.846 | lr 4.36e-04 |  24.49M words |  3642 tok/s | ETA 9:16:22
2026-06-28 12:14:41 | [3:04:30] [#####-------------------]  24.9% | step   2460/9860 | ep 2 | masked | loss  3.075 | lr 4.35e-04 |  24.69M words |  3642 tok/s | ETA 9:15:00
2026-06-28 12:16:14 | [3:06:03] [######------------------]  25.2% | step   2480/9860 | ep 2 | masked | loss  3.059 | lr 4.34e-04 |  24.89M words |  3641 tok/s | ETA 9:13:39
2026-06-28 12:17:48 | [3:07:37] [######------------------]  25.4% | step   2500/9860 | ep 2 | masked | loss  2.555 | lr 4.33e-04 |  25.09M words |  3639 tok/s | ETA 9:12:21
2026-06-28 12:19:24 | [3:09:13] [######------------------]  25.6% | step   2520/9860 | ep 2 | masked | loss  3.085 | lr 4.32e-04 |  25.30M words |  3637 tok/s | ETA 9:11:10
2026-06-28 12:20:56 | [3:10:45] [######------------------]  25.8% | step   2540/9860 | ep 2 | masked | loss  2.574 | lr 4.31e-04 |  25.50M words |  3637 tok/s | ETA 9:09:44
