2026-06-30 01:12:01 | === run 'gptbert_small_contrastive_v1' | device=mps | config=small (33.0M params) ===
2026-06-30 01:12:01 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-30 01:12:01 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-30 01:12:01 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_contrastive_v1/train.log
2026-06-30 01:12:01 | CONTRASTIVE ON | 834,593 sentences | cw=0.5 n_neg=2 c_bs=16 temp=1.0 norm=False | 120 function-word ids
2026-06-30 03:54:52 | [2:42:50] [####--------------------]  20.1% | step   1980/9860 | ep 2 | causal | loss  4.583 | closs  0.221 | lr 4.59e-04 |  19.88M words |  3321 tok/s | ETA 10:48:06
2026-06-30 03:55:57 |   >> saved checkpoint chck_20M at 20.01M words
2026-06-30 03:56:32 | [2:44:30] [####--------------------]  20.3% | step   2000/9860 | ep 2 | masked | loss  3.791 | closs  0.391 | lr 4.58e-04 |  20.08M words |  3321 tok/s | ETA 10:46:31
2026-06-30 03:58:10 | [2:46:08] [####--------------------]  20.5% | step   2020/9860 | ep 2 | masked | loss  3.584 | closs  0.334 | lr 4.57e-04 |  20.28M words |  3321 tok/s | ETA 10:44:50
2026-06-30 03:59:48 | [2:47:47] [####--------------------]  20.7% | step   2040/9860 | ep 2 | masked | loss  3.652 | closs  0.387 | lr 4.56e-04 |  20.48M words |  3321 tok/s | ETA 10:43:10
2026-06-30 04:01:27 | [2:49:25] [#####-------------------]  20.9% | step   2060/9860 | ep 2 | masked | loss  3.876 | closs  0.222 | lr 4.56e-04 |  20.68M words |  3321 tok/s | ETA 10:41:31
2026-06-30 04:03:05 | [2:51:03] [#####-------------------]  21.1% | step   2080/9860 | ep 2 | causal | loss  4.276 | closs  0.120 | lr 4.55e-04 |  20.88M words |  3321 tok/s | ETA 10:39:50
2026-06-30 04:04:43 | [2:52:42] [#####-------------------]  21.3% | step   2100/9860 | ep 2 | masked | loss  4.029 | closs  0.258 | lr 4.54e-04 |  21.08M words |  3321 tok/s | ETA 10:38:10
2026-06-30 04:06:21 | [2:54:20] [#####-------------------]  21.5% | step   2120/9860 | ep 2 | masked | loss  3.748 | closs  0.092 | lr 4.53e-04 |  21.28M words |  3321 tok/s | ETA 10:36:29
2026-06-30 04:08:00 | [2:55:58] [#####-------------------]  21.7% | step   2140/9860 | ep 2 | masked | loss  3.353 | closs  0.133 | lr 4.52e-04 |  21.48M words |  3321 tok/s | ETA 10:34:50
2026-06-30 04:09:39 | [2:57:37] [#####-------------------]  21.9% | step   2160/9860 | ep 2 | masked | loss  3.648 | closs  0.473 | lr 4.51e-04 |  21.68M words |  3321 tok/s | ETA 10:33:12
