2026-07-03 09:41:07 | === run 'gptbert_small_uni8k_v1' | device=mps | config=small (29.9M params) ===
2026-07-03 09:41:07 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-07-03 09:41:07 | blocks/epoch=113,635 | steps/epoch=887 | max_steps=8,870 | ~147M tokens over 10 epochs
2026-07-03 09:41:07 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_uni8k_v1/train.log
2026-07-03 09:41:07 | optimizer: AdamW (lr=0.0005)
2026-07-03 12:27:40 | [2:46:32] [######------------------]  26.2% | step   2320/8870 | ep 2 | masked | loss  3.352 | lr 4.29e-04 |  25.89M words |  3806 tok/s | ETA 7:50:12
2026-07-03 12:29:04 | [2:47:56] [######------------------]  26.4% | step   2340/8870 | ep 2 | masked | loss  3.277 | lr 4.27e-04 |  26.11M words |  3807 tok/s | ETA 7:48:40
2026-07-03 12:30:28 | [2:49:21] [######------------------]  26.6% | step   2360/8870 | ep 2 | masked | loss  3.196 | lr 4.26e-04 |  26.33M words |  3808 tok/s | ETA 7:47:09
2026-07-03 12:31:52 | [2:50:45] [######------------------]  26.8% | step   2380/8870 | ep 2 | masked | loss  3.042 | lr 4.25e-04 |  26.56M words |  3809 tok/s | ETA 7:45:37
2026-07-03 12:33:16 | [2:52:09] [######------------------]  27.1% | step   2400/8870 | ep 2 | masked | loss  3.233 | lr 4.24e-04 |  26.78M words |  3809 tok/s | ETA 7:44:05
2026-07-03 12:34:39 | [2:53:32] [######------------------]  27.3% | step   2420/8870 | ep 2 | masked | loss  3.408 | lr 4.22e-04 |  27.00M words |  3810 tok/s | ETA 7:42:32
2026-07-03 12:36:04 | [2:54:56] [######------------------]  27.5% | step   2440/8870 | ep 2 | masked | loss  3.394 | lr 4.21e-04 |  27.23M words |  3811 tok/s | ETA 7:41:01
2026-07-03 12:37:27 | [2:56:19] [######------------------]  27.7% | step   2460/8870 | ep 2 | masked | loss  3.203 | lr 4.20e-04 |  27.45M words |  3812 tok/s | ETA 7:39:28
2026-07-03 12:38:51 | [2:57:43] [######------------------]  28.0% | step   2480/8870 | ep 2 | masked | loss  3.298 | lr 4.18e-04 |  27.67M words |  3813 tok/s | ETA 7:37:56
2026-07-03 12:40:16 | [2:59:09] [######------------------]  28.2% | step   2500/8870 | ep 2 | masked | loss  3.206 | lr 4.17e-04 |  27.90M words |  3813 tok/s | ETA 7:36:28
